weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
2,8,44,53
2,9,14,53
2,9,34,53
2,9,54,53
2,10,20,53
2,10,35,53
2,10,50,53
2,11,5,53
2,11,20,52
2,11,50,52
2,12,5,53
2,12,20,52
2,12,35,53
2,12,50,51
2,13,5,53
2,13,20,51
2,13,35,53
2,13,50,52
2,14,5,53
2,14,20,52
2,14,35,53
2,14,50,52
2,15,5,53
2,15,35,53
2,15,50,53
2,16,5,53
2,16,20,53
2,16,35,53
2,16,50,53
2,17,5,53
2,17,20,53
2,17,34,53
2,17,54,53
2,18,14,53
2,18,34,53
2,18,54,52
2,19,14,53
2,19,54,53
2,20,20,53
2,20,50,53
2,21,20,53
2,21,50,53
2,22,20,53
3,5,44,52
3,6,4,51
3,6,24,52
3,6,44,52
3,7,4,52
3,7,20,1
3,7,24,52
3,7,44,51
3,7,50,1
3,8,4,52
3,8,20,1
3,8,24,51
3,8,44,52
3,8,50,1
3,9,14,52
3,9,20,1
3,9,34,52
3,9,50,1
3,9,54,52
3,10,20,53
3,10,35,52
3,10,50,53
3,11,5,51
3,11,20,52
3,11,50,53
3,12,5,51
3,12,20,53
3,12,35,52
3,12,50,53
3,13,5,51
3,13,20,52
3,13,35,52
3,13,50,53
3,14,5,52
3,14,20,53
3,14,35,52
3,14,50,53
3,15,5,52
3,15,20,1
3,15,35,52
3,15,50,53
3,16,5,52
3,16,20,53
3,16,35,52
3,16,50,53
3,17,5,52
3,17,20,53
3,17,34,52
3,17,50,1
3,17,54,52
3,18,14,52
3,18,20,1
3,18,34,52
3,18,50,1
3,18,54,52
3,19,14,52
3,19,20,1
3,19,54,53
3,20,20,53
3,20,50,52
3,21,20,53
3,21,50,53
3,22,20,53
4,5,44,50
4,6,4,50
4,6,24,50
4,6,44,50
4,6,50,1
4,7,4,50
4,7,20,2
4,7,24,50
4,7,44,50
4,7,50,2
4,8,4,50
4,8,20,2
4,8,24,50
4,8,44,50
4,8,50,2
4,9,14,50
4,9,20,2
4,9,34,50
4,9,50,2
4,9,54,50
4,10,20,52
4,10,35,50
4,10,50,52
4,11,5,50
4,11,20,52
4,11,50,52
4,12,5,50
4,12,20,52
4,12,35,50
4,12,50,52
4,13,5,50
4,13,20,52
4,13,35,50
4,13,50,52
4,14,5,50
4,14,20,52
4,14,35,50
4,14,50,52
4,15,5,50
4,15,20,2
4,15,35,50
4,15,50,52
4,16,5,50
4,16,20,52
4,16,35,50
4,16,50,51
4,17,5,49
4,17,20,52
4,17,34,49
4,17,50,2
4,17,54,50
4,18,14,50
4,18,20,2
4,18,34,50
4,18,50,2
4,18,54,50
4,19,14,50
4,19,20,2
4,19,54,52
4,20,20,52
4,20,50,52
4,21,20,52
4,21,50,52
4,22,20,52
4,22,50,51
5,6,50,50
5,7,20,52
5,7,50,52
5,8,20,52
5,8,50,52
5,9,20,52
5,9,50,52
5,10,20,52
5,10,50,52
5,11,14,11
5,11,20,41
5,11,34,11
5,11,50,41
5,11,54,11
5,12,14,11
5,12,20,41
5,12,34,11
5,12,50,41
5,12,54,11
5,13,14,11
5,13,20,41
5,13,34,11
5,13,50,41
5,13,54,11
5,14,14,11
5,14,20,41
5,14,34,11
5,14,50,40
5,14,51,1
5,14,54,11
5,15,14,11
5,15,20,40
5,15,34,11
5,15,50,41
5,15,54,11
5,16,14,11
5,16,20,41
5,16,34,11
5,16,50,41
5,16,54,11
5,17,20,52
5,17,50,52
5,18,20,52
5,18,50,52
5,19,20,52
5,19,54,52
5,20,20,52
5,20,50,52
5,21,20,51
5,21,50,52
5,22,20,52
5,22,50,50
6,6,50,2
6,7,20,52
6,7,50,52
6,8,20,52
6,8,50,52
6,9,20,52
6,9,50,52
6,10,20,52
6,10,50,52
6,11,14,11
6,11,20,41
6,11,34,11
6,11,50,41
6,11,54,11
6,12,14,11
6,12,20,41
6,12,34,11
6,12,50,41
6,12,54,11
6,13,14,11
6,13,20,41
6,13,34,11
6,13,50,41
6,13,54,11
6,14,14,11
6,14,20,41
6,14,34,11
6,14,50,41
6,14,54,11
6,15,14,11
6,15,20,41
6,15,34,11
6,15,50,41
6,15,54,11
6,16,14,11
6,16,20,41
6,16,34,11
6,16,50,41
6,16,54,11
6,17,20,52
6,17,50,52
6,18,20,52
6,18,50,52
6,19,20,52
6,19,54,52
6,20,20,52
6,20,50,52
6,21,20,52
6,21,50,52
6,22,20,52
6,22,50,2
